I_E_FLAG,END_DATE,DECL_PORT,I_E_PORT,COUNTRY,DELAY,
I,2018/10/29 9:07,3715,3715,116,26419 ,
E,2018/10/29 9:07,3708,3708,142,26428 ,
E,2018/10/29 9:07,3709,3709,115,26435 ,
E,2018/10/29 9:07,3709,3709,502,26437 ,
E,2018/10/29 9:07,3708,3711,410,26437 ,
E,2018/10/29 9:07,3709,3709,143,26449 ,
I,2018/10/29 9:07,3715,3715,142,26456 ,
I,2018/10/29 9:08,3712,3712,143,26458 ,
I,2018/10/29 9:08,3718,5301,143,26471 ,
E,2018/10/29 9:08,3708,3711,502,26480 ,
I,2018/10/29 9:09,3712,3712,110,26495 ,
E,2018/10/29 9:09,3717,3717,142,26500 ,
E,2018/10/29 9:09,3711,3711,116,26501 ,
E,2018/10/29 9:09,3715,3715,143,26505 ,
E,2018/10/29 9:09,3708,3708,116,26507 ,
E,2018/10/29 9:09,3708,3708,142,26511 ,
E,2018/10/29 9:09,3717,3717,142,26517 ,
E,2018/10/29 9:09,3708,3711,143,26519 ,
I,2018/10/29 9:09,3715,3715,122,26524 ,
I,2018/10/29 9:10,3715,3715,142,26532 ,
I,2018/10/29 9:10,3715,3715,142,26554 ,
I,2018/10/29 9:10,3715,3715,502,26554 ,
I,2018/10/29 9:10,3713,3715,502,26561 ,
E,2018/10/29 9:10,3708,3711,143,26563 ,
I,2018/10/29 9:10,3712,3712,142,26565 ,
I,2018/10/29 9:11,3713,5141,502,26575 ,
I,2018/10/29 9:11,3713,5301,142,26577 ,
I,2018/10/29 9:11,3715,3715,137,26580 ,
I,2018/10/29 9:11,3703,3703,116,26596 ,
E,2018/10/29 9:11,3708,3708,502,26596 ,
I,2018/10/29 9:12,3713,5301,116,26607 ,
I,2018/10/29 9:12,3711,3711,142,26608 ,
E,2018/10/29 9:12,3708,3711,143,26631 ,
E,2018/10/29 9:12,3711,3711,129,26636 ,
I,2018/10/29 9:13,3717,3717,116,26656 ,
I,2018/10/29 9:13,3713,5141,142,26656 ,
I,2018/10/29 9:13,3711,3711,143,26657 ,
I,2018/10/29 9:13,3713,5141,129,26657 ,
I,2018/10/29 9:13,3713,5141,110,26662 ,
I,2018/10/29 9:13,3711,3711,129,26668 ,
E,2018/10/29 9:13,3708,3708,143,26674 ,
E,2018/10/29 9:13,3709,3709,110,26680 ,
I,2018/10/29 9:14,3725,3725,141,26693 ,
I,2018/10/29 9:14,3715,3715,129,26702 ,
I,2018/10/29 9:14,3708,3708,304,26702 ,
I,2018/10/29 9:14,3703,3703,142,26707 ,
I,2018/10/29 9:14,3711,3711,141,26707 ,
I,2018/10/29 9:15,3711,3711,502,26726 ,
I,2018/10/29 9:15,3713,5141,142,26730 ,
I,2018/10/29 9:15,3713,5301,143,26734 ,
I,2018/10/29 9:15,3709,3709,141,26737 ,
E,2018/10/29 9:15,3708,3708,116,26740 ,
E,2018/10/29 9:15,3717,3717,326,26744 ,
E,2018/10/29 9:15,3708,3708,110,26746 ,
E,2018/10/29 9:15,3708,3708,122,26750 ,
I,2018/10/29 9:15,3715,3715,143,26751 ,
I,2018/10/29 9:16,3713,5301,133,26763 ,
E,2018/10/29 9:16,3717,3717,143,26784 ,
E,2018/10/29 9:16,3708,3708,143,26794 ,
I,2018/10/29 9:17,3717,3717,307,26797 ,
I,2018/10/29 9:17,3708,3708,143,26802 ,
I,2018/10/29 9:17,3715,3715,415,26809 ,
I,2018/10/29 9:17,3711,3711,502,26809 ,
I,2018/10/29 9:17,3708,3708,142,26809 ,
I,2018/10/29 9:17,3711,3711,143,26815 ,
E,2018/10/29 9:17,3708,3708,141,26816 ,
E,2018/10/29 9:17,3711,3711,301,26817 ,
E,2018/10/29 9:17,3708,3708,110,26821 ,
E,2018/10/29 9:17,3717,3714,143,26821 ,
I,2018/10/29 9:17,3713,5301,502,26825 ,
I,2018/10/29 9:17,3715,3715,111,26827 ,
I,2018/10/29 9:18,3711,3711,502,26840 ,
I,2018/10/29 9:18,3713,5301,305,26842 ,
I,2018/10/29 9:18,3706,3708,142,26842 ,
I,2018/10/29 9:18,3715,3715,142,26846 ,
E,2018/10/29 9:18,3708,3708,143,26850 ,
E,2018/10/29 9:18,3708,3708,136,26851 ,
E,2018/10/29 9:18,3714,3714,142,26856 ,
I,2018/10/29 9:18,3711,3711,142,26857 ,
I,2018/10/29 9:18,3715,3715,116,26862 ,
I,2018/10/29 9:18,3715,3715,111,26868 ,
I,2018/10/29 9:19,3711,3711,110,26872 ,
I,2018/10/29 9:19,3711,3711,110,26874 ,
I,2018/10/29 9:19,3715,3715,143,26877 ,
I,2018/10/29 9:19,3715,3715,502,26880 ,
I,2018/10/29 9:19,3715,3715,116,26881 ,
E,2018/10/29 9:19,3715,3715,142,26882 ,
E,2018/10/29 9:19,3711,3711,309,26883 ,
E,2018/10/29 9:19,3708,3708,143,26887 ,
E,2018/10/29 9:19,3708,3708,502,26891 ,
E,2018/10/29 9:19,3708,3708,110,26897 ,
E,2018/10/29 9:19,3714,3714,142,26902 ,
E,2018/10/29 9:19,3708,3708,110,26904 ,
E,2018/10/29 9:19,3708,3708,110,26904 ,
E,2018/10/29 9:19,3708,3708,502,26904 ,
I,2018/10/29 9:19,3711,3711,110,26906 ,
I,2018/10/29 9:20,3708,3708,502,26916 ,
I,2018/10/29 9:20,3708,3708,129,26917 ,
I,2018/10/29 9:20,3711,3711,502,26921 ,
I,2018/10/29 9:20,3717,3717,307,26926 ,
I,2018/10/29 9:20,3708,3708,142,26926 ,
E,2018/10/29 9:20,3714,3714,143,26933 ,
E,2018/10/29 9:20,3711,3711,116,26936 ,
E,2018/10/29 9:20,3711,3711,116,26936 ,
E,2018/10/29 9:20,3708,3708,142,26943 ,
E,2018/10/29 9:20,3711,3711,311,26946 ,
I,2018/10/29 9:21,3711,3711,110,26952 ,
I,2018/10/29 9:21,3726,3708,143,26952 ,
I,2018/10/29 9:21,3715,3715,142,26958 ,
I,2018/10/29 9:21,3715,3715,502,26960 ,
E,2018/10/29 9:21,3711,3711,502,26966 ,
E,2018/10/29 9:21,3710,3710,136,26967 ,
E,2018/10/29 9:21,3708,3708,502,26970 ,
I,2018/10/29 9:21,3713,5141,502,26983 ,
I,2018/10/29 9:22,3708,3708,501,26989 ,
I,2018/10/29 9:22,3714,3714,502,26989 ,
I,2018/10/29 9:22,3703,3703,143,26992 ,
I,2018/10/29 9:22,3711,3711,142,27009 ,
E,2018/10/29 9:22,3708,3708,111,27010 ,
E,2018/10/29 9:22,3711,3711,111,27011 ,
E,2018/10/29 9:22,3708,3708,137,27021 ,
I,2018/10/29 9:23,3715,3715,133,27026 ,
I,2018/10/29 9:23,3715,3715,142,27032 ,
I,2018/10/29 9:23,3715,3715,110,27035 ,
E,2018/10/29 9:23,3717,3717,141,27038 ,
I,2018/10/29 9:23,3711,3711,142,27045 ,
E,2018/10/29 9:24,3708,3708,116,27062 ,
E,2018/10/29 9:24,3708,3708,502,27065 ,
E,2018/10/29 9:24,3709,3709,136,27070 ,
E,2018/10/29 9:24,3708,3708,142,27074 ,
E,2018/10/29 9:24,3708,3708,132,27077 ,
I,2018/10/29 9:24,3711,3711,143,27086 ,
I,2018/10/29 9:24,3726,3708,116,27094 ,
I,2018/10/29 9:25,3708,3708,142,27100 ,
E,2018/10/29 9:25,3715,3715,142,27106 ,
E,2018/10/29 9:25,3708,3708,137,27112 ,
E,2018/10/29 9:25,3708,3708,133,27114 ,
E,2018/10/29 9:25,3717,3717,116,27114 ,
E,2018/10/29 9:25,3708,3708,122,27121 ,
E,2018/10/29 9:25,3708,3708,142,27132 ,
E,2018/10/29 9:25,3708,3708,136,27132 ,
I,2018/10/29 9:26,3709,3709,410,27137 ,
I,2018/10/29 9:26,3711,3711,116,27143 ,
I,2018/10/29 9:26,3711,3711,142,27150 ,
I,2018/10/29 9:26,3710,3710,110,27151 ,
I,2018/10/29 9:26,3704,3704,311,27152 ,
I,2018/10/29 9:26,3708,3708,143,27154 ,
E,2018/10/29 9:26,3711,3711,132,27155 ,
E,2018/10/29 9:26,3708,3708,304,27158 ,
E,2018/10/29 9:26,3711,3711,142,27160 ,
E,2018/10/29 9:26,3708,3708,110,27168 ,
E,2018/10/29 9:26,3711,3711,304,27168 ,
E,2018/10/29 9:26,3711,3711,309,27173 ,
