I_E_FLAG,END_DATE,DECL_PORT,I_E_PORT,COUNTRY,DELAY,,,
I,2018-10-28 12:01:13,3715,3715,142,9106.356199,1.783333336,134.675897,
I,2018-10-28 12:04:50,3715,3715,143,9242.920075,1.808333332,136.5638765,
I,2018-10-28 12:09:10,3715,3715,141,9406.544996,2.166666665,163.6249212,
E,2018-10-28 12:10:47,3715,3715,303,9467.589679,0.808333334,61.04468222,
I,2018-10-28 12:11:07,3715,3715,303,9480.176211,0.166666669,12.58653258,
I,2018-10-28 12:12:12,3715,3715,142,9521.082442,0.541666668,40.9062304,
I,2018-10-28 12:15:40,3715,3715,303,9651.982378,1.73333333,130.8999368,
I,2018-10-28 12:19:10,3715,3715,309,9784.140969,1.75,132.1585903,
I,2018-10-28 12:20:14,3715,3715,142,9824.417873,0.533333338,40.27690403,
I,2018-10-28 12:24:51,3715,3715,143,9998.741347,2.308333333,174.3234739,
I,2018-10-28 12:26:53,3715,3715,303,10075.51919,1.016666663,76.77784745,
I,2018-10-28 12:30:45,3715,3715,143,10221.52297,1.933333335,146.0037761,
I,2018-10-28 12:33:28,3715,3715,111,10324.10321,1.358333331,102.580239,
I,2018-10-28 12:34:31,3715,3715,307,10363.75079,0.525000002,39.64757726,
I,2018-10-28 12:36:44,3715,3715,444,10447.45123,1.10833333,83.70044031,
I,2018-10-28 12:38:09,3715,3715,142,10500.94399,0.708333337,53.49276298,
I,2018-10-28 12:40:58,3715,3715,142,10607.30019,1.408333333,106.3561988,
I,2018-10-28 12:42:16,3715,3715,142,10656.38767,0.65,49.0874764,
I,2018-10-28 12:44:22,3715,3715,110,10735.68282,1.049999999,79.29515413,
I,2018-10-28 12:44:23,3715,3715,129,10736.31215,0.008333335,0.629326768,
I,2018-10-28 12:45:52,3715,3715,142,10792.32222,0.741666667,56.01006926,
I,2018-10-28 12:48:29,3715,3715,142,10891.12649,1.30833333,98.80427918,
I,2018-10-28 12:49:55,3715,3715,303,10945.24858,0.716666667,54.12208936,
I,2018-10-28 12:50:51,3715,3715,116,10980.49087,0.466666666,35.24229068,
I,2018-10-28 12:51:19,3715,3715,304,10998.11202,0.233333335,17.62114554,
I,2018-10-28 12:52:46,3715,3715,142,11052.86344,0.725000002,54.75141612,
I,2018-10-28 12:54:17,3715,3715,137,11110.13216,0.758333332,57.2687224,
I,2018-10-28 12:54:50,3715,3715,137,11130.89994,0.275000001,20.76777858,
I,2018-10-28 12:56:03,3715,3715,143,11176.84078,0.608333329,45.94084296,
E,2018-10-28 12:57:21,3708,3708,110,11225.92826,0.65,49.0874764,
I,2018-10-28 12:59:47,3715,3715,142,11317.80994,1.216666668,91.88168671,
I,2018-10-28 13:03:11,3715,3715,142,11446.19257,1.699999999,128.3826305,
I,2018-10-28 13:05:08,3715,3715,137,11519.82379,0.975000003,73.6312148,
I,2018-10-28 13:06:07,3715,3715,142,11556.95406,0.491666666,37.13027059,
I,2018-10-28 13:06:15,3715,3715,502,11561.98867,0.066666667,5.034612954,
I,2018-10-28 13:07:39,3715,3715,116,11614.85211,0.700000001,52.86343622,
I,2018-10-28 13:08:56,3715,3715,122,11663.31026,0.641666665,48.45814963,
I,2018-10-28 13:08:56,3715,3715,502,11663.31026,0,0,
I,2018-10-28 13:10:41,3715,3715,142,11729.38955,0.875,66.07929517,
E,2018-10-28 13:10:41,3708,3708,141,11729.38955,0,0,
I,2018-10-28 13:11:25,3715,3715,110,11757.07992,0.366666669,27.69037145,
I,2018-10-28 13:12:37,3715,3715,116,11802.39144,0.599999999,45.31151659,
I,2018-10-28 13:15:03,3715,3715,305,11894.27313,1.216666668,91.88168671,
I,2018-10-28 13:16:45,3715,3715,116,11958.46444,0.85,64.19131526,
E,2018-10-28 13:22:18,3708,3708,110,12168.03021,2.774999999,209.5657646,
E,2018-10-28 13:28:16,3708,3708,137,12393.32914,2.983333334,225.2989302,
I,2018-10-28 13:30:17,3715,3715,142,12469.47766,1.008333333,76.14852108,
E,2018-10-28 13:34:19,3708,3708,502,12621.7747,2.016666667,152.2970422,
I,2018-10-28 13:43:12,3715,3715,304,12957.20579,4.441666662,335.4310884,
I,2018-10-28 13:43:46,3715,3715,116,12978.60289,0.283333337,21.39710535,
I,2018-10-28 13:44:18,3715,3715,142,12998.74135,0.266666666,20.13845182,
E,2018-10-28 13:47:30,3708,3708,110,13119.57206,1.600000002,120.8307113,
E,2018-10-28 15:00:31,3711,3711,142,15385.14789,30,2265.575834,
E,2018-10-28 15:06:23,3715,3507,142,15606.67086,2.933333338,221.5229708,
E,2018-10-28 15:07:30,3715,3507,304,15648.83575,0.558333333,42.16488354,
E,2018-10-28 15:09:01,3715,3507,502,15706.10447,0.758333332,57.2687224,
E,2018-10-28 15:10:04,3715,3507,143,15745.75205,0.524999997,39.64757687,
E,2018-10-28 15:28:02,3708,3708,129,16424.16614,8.983333338,678.4140973,
E,2018-10-28 15:28:38,3708,3708,142,16446.8219,0.299999997,22.6557581,
E,2018-10-28 15:29:11,3708,3708,142,16467.58968,0.275000001,20.76777858,
